label	surface	norm	source_file	source_kind	count_hint
GPE	Kashmir	kashmir	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kasi	kasi	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Kasis	kasis	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kesaputta	kesaputta	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Kimikālā River	kimikālā river	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kimila	kimila	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Ajatasattu	king ajatasattu	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Ajātasattu	king ajātasattu	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Ajatasattu Vedehiputta	king ajatasattu vedehiputta	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Ajātasattu Vedehiputta	king ajātasattu vedehiputta	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Koravya	king koravya	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Maha Sudassana	king maha sudassana	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Maha Sudassana	maha sudassana	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Mahasudassana	mahasudassana	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Milinda	king milinda	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Milinda	milinda	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Nala	king nala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Nala	nala	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Pacetana	king pacetana	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Pajjota	king pajjota	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Pasenadi Kosala	king pasenadi kosala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Pasenadi	king pasenadi	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Seniya Bimbisara	king seniya bimbisara	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Seniya Bimbisāra	king seniya bimbisāra	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	King Udena	king udena	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Vessavana	king vessavana	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	King Yama	king yama	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kingdom of Alakamanda	kingdom of alakamanda	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Alakamanda	alakamanda	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Kisagotami	kisagotami	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Kisa Gotami the nun	kisa gotami the nun	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
NORP	Koliyan	koliyan	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Koliyans	koliyans	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kosala	kosala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Kosalan brahman	kosalan brahman	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Kosalans	kosalans	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kosambī	kosambī	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kosambii	kosambii	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Kotigama	kotigama	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Kumbhanda	kumbhanda	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Kumbhandas	kumbhandas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kure	kure	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kuru	kuru	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
LOC	Kuru country	kuru country	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Kurus	kurus	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kusavati	kusavati	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kusinara	kusinara	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kusinarā	kusinarā	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Kuṇḍiya	kuṇḍiya	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Licchavi	licchavi	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Licchavis	licchavis	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Maccha	maccha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Macchikasanda	macchikasanda	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Maddakucchi	maddakucchi	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Madhura	madhura	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Magadha	magadha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Magadhan	magadhan	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Magadhans	magadhans	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Magandiya	magandiya	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Mahisavatthu	mahisavatthu	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Makkhali Gosala	makkhali gosala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Makkhali Gosāla	makkhali gosāla	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Malla	malla	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Malla clan	malla clan	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Mallan	mallan	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Mallan sal grove	mallan sal grove	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Mallans	mallans	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Mallas	mallas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	ManySon shrine	manyson shrine	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Mara	mara	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Evil One	evil one	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Dark One	dark one	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Megha	megha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Methula	methula	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Migajaala	migajaala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
